date,reg_order,id_sig,reg_snaspe,nom_minrel,nom_iso,cat_snaspe,cod_snaspe,nom_snaspe,br_ha,snaspe_ha,proportion
23-02-2023,2,1000101,Tarapacá,TPCA,01-TA,Parque Nacional,PNVI,Parque Nacional Volcán Isluga,0.0,77988.0,0
23-02-2023,2,2000102,Tarapacá,TPCA,01-TA,Reserva Nacional,RNPDT,Reserva Nacional Pampa del Tamarugal,0.0,7069.0,0
23-02-2023,3,2000206,Antofagasta,ANTOF,02-AN,Reserva Nacional,RNLF,Reserva Nacional Los Flamencos,366.0,1096.0,33
23-02-2023,4,1000301,Atacama,ATCMA,03-AT,Parque Nacional,PNLLCH,Parque Nacional Llanos de Challes,0.0,351.0,0
23-02-2023,4,1000302,Atacama,ATCMA,03-AT,Parque Nacional,PNNTC,Parque Nacional Nevado de Tres Cruces,0.0,353.0,0
23-02-2023,4,1000303,Atacama,ATCMA,03-AT,Parque Nacional,PNPDA,Parque Nacional Pan de Azúcar,0.0,1073.0,0
23-02-2023,5,3000401,Coquimbo,COQ,04-CO,Monumento Natural,MNPIC,Monumento Natural Pichasca,0.0,343.0,0
23-02-2023,5,1000402,Coquimbo,COQ,04-CO,Parque Nacional,PNFJ,Parque Nacional Fray Jorge,0.0,11297.0,0
23-02-2023,5,2000403,Coquimbo,COQ,04-CO,Reserva Nacional,RNLCH,Reserva Nacional Las Chinchillas,0.0,3735.0,0
23-02-2023,6,1000502,Valparaíso,VALPO,05-VA,Parque Nacional,PNLC,Parque Nacional La Campana,0.0,8684.0,0
23-02-2023,6,2000503,Valparaíso,VALPO,05-VA,Reserva Nacional,RNEY,Reserva Nacional El Yali,0.0,1655.0,0
23-02-2023,6,2000504,Valparaíso,VALPO,05-VA,Reserva Nacional,RNLP,Reserva Nacional Peñuelas,0.0,10331.0,0
23-02-2023,6,2000505,Valparaíso,VALPO,05-VA,Reserva Nacional,RNRB,Reserva Nacional Rio Blanco,0.0,2338.0,0
23-02-2023,8,1000601,Libertador General Bernardo O'Higgins,LGBO,06-OH,Parque Nacional,PNPDC,Parque Nacional Palmas de Cocalán,0.0,5605.0,0
23-02-2023,8,2000602,Libertador General Bernardo O'Higgins,LGBO,06-OH,Reserva Nacional,RNRC,Reserva Nacional Rio de los Cipreses,0.0,14130.0,0
23-02-2023,8,2000603,Libertador General Bernardo O'Higgins,LGBO,06-OH,Reserva Nacional,RNRCL,Reserva Nacional Roblería del Cobre Loncha,0.0,7590.0,0
23-02-2023,9,1000701,Maule,MAULE,07-MA,Parque Nacional,PNRST,Parque Nacional Radal Siete Tazas,0.0,3572.0,0
23-02-2023,9,2000702,Maule,MAULE,07-MA,Reserva Nacional,RNAL,Reserva Nacional Altos de Lircay,0.0,11016.0,0
23-02-2023,9,2000703,Maule,MAULE,07-MA,Reserva Nacional,RNFA,Reserva Nacional Federico Albert,0.0,324.0,0
23-02-2023,9,2000704,Maule,MAULE,07-MA,Reserva Nacional,RNLT,Reserva Nacional Laguna Torca,0.0,654.0,0
23-02-2023,9,2000705,Maule,MAULE,07-MA,Reserva Nacional,RNBDM,Reserva Nacional Los Bellotos del Melado,0.0,646.0,0
23-02-2023,9,2000706,Maule,MAULE,07-MA,Reserva Nacional,RNLQ,Reserva Nacional Los Queules,0.0,323.0,0
23-02-2023,9,2000707,Maule,MAULE,07-MA,Reserva Nacional,RNLR,Reserva Nacional Los Ruiles,0.0,323.0,0
23-02-2023,9,2000708,Maule,MAULE,07-MA,Reserva Nacional,RNRST,Reserva Nacional Radal Siete Tazas,0.0,1300.0,0
23-02-2023,11,1000801,Biobío,BBIO,08-BI,Parque Nacional,PNLDL,Parque Nacional Laguna de la Laja,1901.0,2852.0,66
